"Slide","Title","Start","End","Seconds","Mode","Recording cue"
"1","Agent Airlock","00:00","00:45","45","narration","Stay on this slide. Reveal or point to the visual in reading order; no external action is required."
"2","AI agents have hands now","00:45","02:00","75","narration","Stay on this slide. Reveal or point to the visual in reading order; no external action is required."
"3","Instructions shape behavior. They do not create a security boundary.","02:00","03:15","75","narration","Stay on this slide. Reveal or point to the visual in reading order; no external action is required."
"4","Put a controlled boundary between intent and effect","03:15","04:30","75","narration","Stay on this slide. Reveal or point to the visual in reading order; no external action is required."
"5","The system is structured around one enforcement owner","04:30","06:10","100","narration","Stay on this slide. Reveal or point to the visual in reading order; no external action is required."
"6","What happens when an action reaches Airlock","06:10","07:50","100","narration","Stay on this slide. Reveal or point to the visual in reading order; no external action is required."
"7","Every gate uses the same decision contract","07:50","09:00","70","narration","Stay on this slide. Reveal or point to the visual in reading order; no external action is required."
"8","Sensitive Information Protection","09:00","11:40","160","gate-demo","Play or record the sensitive-information script. Show clean, secret, override, PII, label and replacement outcomes without displaying raw fixture content."
"9","Dependency Risk","11:40","13:40","120","gate-demo","Play or record dependency-risk. Show the blocked result and unchanged sample worktree."
"10","Model Catalog","13:40","15:20","100","gate-demo","Play or record model-catalog. Compare default, override and blocked outcomes."
"11","Online-Write Intent","15:20","16:50","90","gate-demo","Play or record intent. Do not execute the prompt as a native command."
"12","Trending Cost","16:50","18:20","90","gate-demo","Play or record trending-cost. Keep the synthetic-data and advisory labels visible."
"13","Every decision leaves evidence","18:20","19:50","90","narration","Open one allowed and one blocked result.json plus their receipts from the latest scripted run."
"14","Adding a gate is intentionally small","19:50","21:10","80","narration","Stay on this slide. Reveal or point to the visual in reading order; no external action is required."
"15","What the prototype enforces—and what it does not yet","21:10","22:40","90","narration","Stay on this slide. Reveal or point to the visual in reading order; no external action is required."
"16","The path from prototype to shared enforcement","22:40","24:10","90","narration","Stay on this slide. Reveal or point to the visual in reading order; no external action is required."
"17","What we want the team to remember","24:10","25:05","55","narration","Stay on this slide. Reveal or point to the visual in reading order; no external action is required."
